position,name,url,rating,rating_count,industry_location,reviews,salaries,interviews,jobs,benefits,photos,highly_rated_for,critically_rated_for
1,TCS,https://www.ambitionbox.com/overview/tcs-overview,3.6,(96.8k),IT Services & Consulting | Bangalore / Bengaluru +413 other locations,96.8k,9.1L,11k,152,12k,86,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
2,Accenture,https://www.ambitionbox.com/overview/accenture-overview,3.8,(62.3k),IT Services & Consulting | Bangalore / Bengaluru +227 other locations,62.3k,6.1L,8.5k,10.1k,7.4k,48,,"Promotions / Appraisal, Salary & Benefits"
3,Wipro,https://www.ambitionbox.com/overview/wipro-overview,3.7,(56.7k),IT Services & Consulting | Bangalore / Bengaluru +358 other locations,56.7k,4.6L,6k,4.8k,5.3k,101,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
4,Cognizant,https://www.ambitionbox.com/overview/cognizant-overview,3.7,(53.8k),IT Services & Consulting | Hyderabad / Secunderabad +212 other locations,53.8k,5.8L,5.8k,574,6.1k,82,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
5,Capgemini,https://www.ambitionbox.com/overview/capgemini-overview,3.7,(45.5k),IT Services & Consulting | Bangalore / Bengaluru +172 other locations,45.5k,4.5L,5k,1.3k,4.2k,41,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
6,HDFC Bank,https://www.ambitionbox.com/overview/hdfc-bank-overview,3.9,(42.9k),Banking | Mumbai +1693 other locations,42.9k,1.4L,2.4k,172,3.4k,68,"Job Security, Skill Development / Learning",Promotions / Appraisal
7,Infosys,https://www.ambitionbox.com/overview/infosys-overview,3.6,(42.4k),IT Services & Consulting | Bangalore / Bengaluru +228 other locations,42.4k,4.9L,7.8k,1.5k,5.4k,117,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
8,ICICI Bank,https://www.ambitionbox.com/overview/icici-bank-overview,4.0,(41.4k),Banking | Mumbai +1392 other locations,41.4k,1.5L,2.6k,3,3.8k,64,"Job Security, Skill Development / Learning, Company Culture",
9,HCLTech,https://www.ambitionbox.com/overview/hcl-technologies-overview,3.5,(39.1k),IT Services & Consulting | Chennai +216 other locations,39.1k,3.5L,4k,343,4.3k,58,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
10,Tech Mahindra,https://www.ambitionbox.com/overview/tech-mahindra-overview,3.5,(37.7k),IT Services & Consulting | Hyderabad / Secunderabad +320 other locations,37.7k,2.7L,4k,349,3.8k,70,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
11,Genpact,https://www.ambitionbox.com/overview/genpact-overview,3.8,(35.2k),IT Services & Consulting | Hyderabad / Secunderabad +160 other locations,35.2k,2.1L,3.3k,498,3.9k,58,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
12,Teleperformance,https://www.ambitionbox.com/overview/teleperformance-overview,3.9,(32k),BPO | Mumbai +245 other locations,32k,91.9k,1.9k,316,2.3k,38,"Company Culture, Work Life Balance, Job Security",
13,Concentrix Corporation,https://www.ambitionbox.com/overview/concentrix-corporation-overview,3.7,(28.2k),BPO | Bangalore / Bengaluru +165 other locations,28.2k,1.2L,1.7k,115,3.4k,63,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
14,Axis Bank,https://www.ambitionbox.com/overview/axis-bank-overview,3.7,(27.8k),Banking | Mumbai +1421 other locations,27.8k,1L,1.6k,224,2.2k,91,,"Promotions / Appraisal, Work Satisfaction"
15,Amazon,https://www.ambitionbox.com/overview/amazon-overview,4.0,(26.9k),Internet | Bangalore / Bengaluru +498 other locations,26.9k,1.3L,5.3k,2.9k,4.4k,84,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
16,Jio,https://www.ambitionbox.com/overview/jio-overview,4.0,(25.2k),Telecom | Mumbai +1416 other locations,25.2k,61.2k,2.2k,58,2.7k,70,"Job Security, Skill Development / Learning, Company Culture",
17,iEnergizer,https://www.ambitionbox.com/overview/ienergizer-overview,4.7,(24.3k),BPO | Noida +44 other locations,24.3k,22.7k,737,314,569,28,"Company Culture, Job Security, Skill Development / Learning",
18,Reliance Retail,https://www.ambitionbox.com/overview/reliance-retail-overview,3.9,(23.9k),Retail | Mumbai +1086 other locations,23.9k,66.6k,1.7k,114,2k,125,"Skill Development / Learning, Job Security",Promotions / Appraisal
19,IBM,https://www.ambitionbox.com/overview/ibm-overview,4.0,(23.3k),IT Services & Consulting | Bangalore / Bengaluru +159 other locations,23.3k,2L,2.4k,1.3k,2.8k,23,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
20,LTIMindtree,https://www.ambitionbox.com/overview/ltimindtree-overview,3.7,(22.5k),IT Services & Consulting | Bangalore / Bengaluru +133 other locations,22.5k,1.8L,3k,258,1.3k,34,,"Promotions / Appraisal, Salary & Benefits"
1,HDB Financial Services,https://www.ambitionbox.com/overview/hdb-financial-services-overview,3.9,(22k),NBFC | Mumbai +1028 other locations,22k,49.3k,889,223,1.6k,53,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal
2,Larsen & Toubro Limited,https://www.ambitionbox.com/overview/larsen-and-toubro-limited-overview,3.9,(20k),Engineering & Construction | Chennai +706 other locations,20k,69.2k,1.5k,210,2.9k,62,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance"
3,Deloitte,https://www.ambitionbox.com/overview/deloitte-overview,3.8,(19.3k),Management Consulting | Hyderabad / Secunderabad +165 other locations,19.3k,2.1L,3k,66,2.6k,25,"Job Security, Skill Development / Learning","Work Life Balance, Promotions / Appraisal, Work Satisfaction"
4,Kotak Mahindra Bank,https://www.ambitionbox.com/overview/kotak-mahindra-bank-overview,3.7,(18.8k),Banking | Mumbai +648 other locations,18.8k,82.9k,1.2k,30,1.3k,36,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
5,Reliance Industries,https://www.ambitionbox.com/overview/reliance-industries-overview,4.0,(17.3k),Oil & Gas | Jamnagar +761 other locations,17.3k,68k,1.4k,57,2k,38,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
6,BYJU'S,https://www.ambitionbox.com/overview/byjus-overview,3.1,(16.3k),EdTech | Bangalore / Bengaluru +321 other locations,16.3k,57.6k,2.1k,--,1.9k,28,,"Job Security, Company Culture, Work Life Balance"
7,Vodafone Idea,https://www.ambitionbox.com/overview/vodafone-idea-overview,4.0,(16.1k),Telecom | Pune +685 other locations,16.1k,51.7k,582,18,2.1k,21,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
8,Bharti Airtel,https://www.ambitionbox.com/overview/bharti-airtel-overview,3.9,(14.9k),Telecom | Gurgaon / Gurugram +749 other locations,14.9k,46.5k,928,202,1.7k,95,Skill Development / Learning,Promotions / Appraisal
9,WNS,https://www.ambitionbox.com/overview/wns-overview,3.3,(12.9k),BPO | Pune +56 other locations,12.9k,64.1k,1.1k,84,1.4k,24,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
10,Tata Motors,https://www.ambitionbox.com/overview/tata-motors-overview,4.2,(12.8k),Automobile | Pune +485 other locations,12.8k,40.1k,1.1k,136,1.8k,39,"Job Security, Company Culture, Work Life Balance",
11,AU Small Finance Bank,https://www.ambitionbox.com/overview/au-small-finance-bank-overview,4.2,(12.3k),Banking | Jaipur +723 other locations,12.3k,26.4k,567,56,648,24,"Job Security, Skill Development / Learning, Company Culture",
12,IndusInd Bank,https://www.ambitionbox.com/overview/indusind-bank-overview,3.5,(11.9k),Banking | Mumbai +751 other locations,11.9k,48.7k,668,126,830,15,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
13,Ernst & Young,https://www.ambitionbox.com/overview/ernst-young-overview,3.4,(11.8k),Management Consulting | Bangalore / Bengaluru +120 other locations,11.8k,1.2L,1.2k,3.2k,1.3k,6,,"Work Life Balance, Promotions / Appraisal, Company Culture"
14,IDFC FIRST Bank,https://www.ambitionbox.com/overview/idfc-first-bank-overview,3.9,(11.4k),Banking | Mumbai +662 other locations,11.4k,44.9k,729,32,749,47,Salary & Benefits,
15,Flipkart,https://www.ambitionbox.com/overview/flipkart-overview,3.9,(11.3k),Internet | Bangalore / Bengaluru +542 other locations,11.3k,49.5k,1.4k,138,1.4k,100,Skill Development / Learning,Promotions / Appraisal
16,DXC Technology,https://www.ambitionbox.com/overview/dxc-technology-overview,3.7,(10.7k),IT Services & Consulting | Bangalore / Bengaluru +127 other locations,10.7k,72.8k,827,239,1.2k,6,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
17,Infosys BPM,https://www.ambitionbox.com/overview/infosys-bpm-overview,3.6,(10.5k),BPO | Bangalore / Bengaluru +87 other locations,10.5k,68.1k,1k,45,1.2k,6,Job Security,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
18,Mahindra & Mahindra,https://www.ambitionbox.com/overview/mahindra-and-mahindra-overview,4.1,(10.4k),Automobile | Pune +530 other locations,10.4k,36.7k,725,33,1.3k,15,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
19,Bajaj Finserv,https://www.ambitionbox.com/overview/bajaj-finserv-overview,4.0,(10.2k),Financial Services | Pune +1049 other locations,10.2k,27.6k,571,31,769,13,"Salary & Benefits, Skill Development / Learning, Job Security",
20,PwC,https://www.ambitionbox.com/overview/pwc-overview,3.4,(10.2k),Management Consulting | Bangalore / Bengaluru +120 other locations,10.2k,97.7k,1.4k,1.6k,900,24,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
1,HDFC Life,https://www.ambitionbox.com/overview/hdfc-life-overview,3.9,(10.1k),Insurance | Mumbai +639 other locations,10.1k,31k,662,25,659,48,"Skill Development / Learning, Company Culture, Work Life Balance",
2,Conneqt Business Solutions,https://www.ambitionbox.com/overview/conneqt-business-solutions-overview,3.6,(9.3k),BPO | Hyderabad / Secunderabad +252 other locations,9.3k,26.8k,502,413,856,47,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
3,Mphasis,https://www.ambitionbox.com/overview/mphasis-overview,3.3,(9k),IT Services & Consulting | Bangalore / Bengaluru +57 other locations,9k,69.8k,837,46,913,84,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
4,Bandhan Bank,https://www.ambitionbox.com/overview/bandhan-bank-overview,3.7,(8.5k),Banking | Kolkata +907 other locations,8.5k,22.9k,600,3,546,31,Job Security,"Promotions / Appraisal, Work Satisfaction"
5,Yes Bank,https://www.ambitionbox.com/overview/yes-bank-overview,3.7,(8.5k),Banking | Mumbai +497 other locations,8.5k,41.3k,470,166,645,18,,"Work Satisfaction, Job Security, Promotions / Appraisal"
6,Tata Steel,https://www.ambitionbox.com/overview/tata-steel-overview,4.0,(8.3k),Iron & Steel | Jamshedpur +212 other locations,8.3k,30.5k,905,--,753,46,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
7,Startek,https://www.ambitionbox.com/overview/startek-overview,3.1,(8.2k),Bangalore / Bengaluru +99 other locations,8.2k,23.5k,518,58,733,9,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
8,Quess,https://www.ambitionbox.com/overview/quess-overview,3.8,(8k),BPO | Bangalore / Bengaluru +650 other locations,8k,29.1k,451,42,472,21,,"Promotions / Appraisal, Job Security"
9,Asian Paints,https://www.ambitionbox.com/overview/asian-paints-overview,4.0,(8k),Chemicals | Mumbai +502 other locations,8k,23.2k,693,31,930,34,"Salary & Benefits, Skill Development / Learning, Job Security","Work Life Balance, Promotions / Appraisal"
10,Paytm,https://www.ambitionbox.com/overview/paytm-overview,3.2,(8k),FinTech | Noida +375 other locations,8k,31.9k,787,345,601,24,,"Job Security, Company Culture, Promotions / Appraisal"
11,UltraTech Cement,https://www.ambitionbox.com/overview/ultratech-cement-overview,4.2,(7.8k),Building Material | Mumbai +486 other locations,7.8k,22.5k,645,287,674,42,"Job Security, Skill Development / Learning, Company Culture",
12,Maruti Suzuki,https://www.ambitionbox.com/overview/maruti-suzuki-overview,4.2,(7.7k),Automobile | Gurgaon / Gurugram +409 other locations,7.7k,24.9k,630,615,1.1k,24,"Job Security, Salary & Benefits, Skill Development / Learning",
13,Samsung,https://www.ambitionbox.com/overview/samsung-overview,3.9,(7.7k),Consumer Electronics & Appliances | Noida +553 other locations,7.7k,26k,569,34,591,15,Salary & Benefits,Promotions / Appraisal
14,Shriram Finance,https://www.ambitionbox.com/overview/shriram-finance-overview,4.0,(7.6k),NBFC | Chennai +1033 other locations,7.6k,14.2k,364,23,63,42,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
15,Ericsson,https://www.ambitionbox.com/overview/ericsson-overview,4.1,(7.5k),Telecom | Noida +157 other locations,7.5k,41.7k,428,103,1.1k,16,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
16,EXL Service,https://www.ambitionbox.com/overview/exl-service-overview,3.7,(7.6k),IT Services & Consulting | Noida +58 other locations,7.6k,40.7k,791,274,878,20,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
17,Muthoot Fincorp,https://www.ambitionbox.com/overview/muthoot-fincorp-overview,4.5,(7.5k),NBFC | Bangalore / Bengaluru +892 other locations,7.5k,8.3k,612,42,332,66,"Company Culture, Work Life Balance, Job Security",
18,Sutherland Global Services,https://www.ambitionbox.com/overview/sutherland-global-services-overview,3.5,(7.6k),IT Services & Consulting | Chennai +72 other locations,7.6k,30.7k,678,224,977,30,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
19,Bajaj Finance,https://www.ambitionbox.com/overview/bajaj-finance-overview,4.0,(7.5k),NBFC | Pune +878 other locations,7.5k,21.3k,341,23,549,11,"Salary & Benefits, Skill Development / Learning, Job Security",
20,Cipla,https://www.ambitionbox.com/overview/cipla-overview,4.1,(7.4k),Pharma | Mumbai +268 other locations,7.4k,24.3k,522,145,921,20,"Skill Development / Learning, Salary & Benefits, Company Culture",
1,Dr. Reddy's,https://www.ambitionbox.com/overview/dr-dot-reddys-overview,4.0,(7.2k),Pharma | Hyderabad / Secunderabad +199 other locations,7.2k,24.4k,422,33,795,28,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
2,HGS,https://www.ambitionbox.com/overview/hinduja-global-solutions-overview,3.8,(7.1k),BPO | Bangalore / Bengaluru +117 other locations,7.1k,22k,250,25,1k,32,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
3,Wells Fargo,https://www.ambitionbox.com/overview/wells-fargo-overview,3.8,(7k),Financial Services | Bangalore / Bengaluru +26 other locations,7k,51k,607,188,930,11,"Work Life Balance, Job Security","Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
4,Amazon Development Centre India,https://www.ambitionbox.com/overview/amazon-development-centre-india-pvt-ltd-overview,4.0,(6.8k),Internet | Hyderabad / Secunderabad +135 other locations,6.8k,34k,805,12,73,12,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
5,ICICI Prudential Life Insurance,https://www.ambitionbox.com/overview/icici-prudential-life-insurance-overview,4.0,(6.8k),Insurance | Mumbai +484 other locations,6.8k,22.1k,422,230,644,10,"Job Security, Skill Development / Learning, Salary & Benefits",
6,JPMorgan Chase & Co.,https://www.ambitionbox.com/overview/jpmorgan-chase-and-co-dot-overview,3.9,(6.7k),Financial Services | Bangalore / Bengaluru +51 other locations,6.7k,74.7k,784,783,926,14,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
7,Jana Small Finance Bank,https://www.ambitionbox.com/overview/jana-small-finance-bank-overview,3.8,(6.6k),Banking | Bangalore / Bengaluru +390 other locations,6.6k,14.3k,260,36,638,15,,Promotions / Appraisal
8,Optum Global Solutions,https://www.ambitionbox.com/overview/optum-global-solutions-overview,4.0,(6.7k),IT Services & Consulting | Hyderabad / Secunderabad +50 other locations,6.7k,41.8k,663,335,773,1,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
9,Delhivery,https://www.ambitionbox.com/overview/delhivery-overview,3.8,(6.6k),Logistics | Gurgaon / Gurugram +698 other locations,6.6k,19.3k,502,89,687,63,,Promotions / Appraisal
10,Hexaware Technologies,https://www.ambitionbox.com/overview/hexaware-technologies-overview,3.5,(6.5k),IT Services & Consulting | Chennai +65 other locations,6.5k,49.1k,748,201,605,28,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
11,Lupin,https://www.ambitionbox.com/overview/lupin-overview,4.1,(6.5k),Pharma | Pune +188 other locations,6.5k,22.1k,369,117,844,11,"Company Culture, Skill Development / Learning, Work Life Balance",
12,L&T Construction,https://www.ambitionbox.com/overview/l-and-t-construction-overview,4.0,(6.4k),Engineering & Construction | Chennai +401 other locations,6.4k,18.3k,801,--,854,30,"Job Security, Skill Development / Learning, Salary & Benefits","Work Life Balance, Promotions / Appraisal"
13,JSW Steel,https://www.ambitionbox.com/overview/jsw-steel-overview,3.9,(6.4k),Iron & Steel | Ballari +168 other locations,6.4k,27.6k,642,82,681,31,"Job Security, Skill Development / Learning",Promotions / Appraisal
14,Zydus Lifesciences,https://www.ambitionbox.com/overview/zydus-lifesciences-overview,4.1,(6.4k),Pharma | Ahmedabad +168 other locations,6.4k,18.8k,351,36,720,21,"Salary & Benefits, Skill Development / Learning, Company Culture",
15,Hindustan Unilever,https://www.ambitionbox.com/overview/hindustan-unilever-overview,4.2,(6.4k),FMCG | Mumbai +497 other locations,6.4k,19k,392,35,755,3,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
16,Equitas Small Finance Bank,https://www.ambitionbox.com/overview/equitas-small-finance-bank-overview,4.4,(6.3k),Banking | Chennai +430 other locations,6.3k,12.5k,460,1.1k,421,25,"Company Culture, Work Life Balance, Job Security",
17,Sun Pharmaceutical Industries,https://www.ambitionbox.com/overview/sun-pharmaceutical-industries-overview,4.0,(6.2k),Pharma | Vadodara +234 other locations,6.2k,21.9k,439,267,659,16,"Salary & Benefits, Job Security, Skill Development / Learning",
18,ITC,https://www.ambitionbox.com/overview/itc-overview,3.9,(6.1k),FMCG | Bangalore / Bengaluru +352 other locations,6.1k,22.5k,595,46,704,14,"Job Security, Skill Development / Learning",Promotions / Appraisal
19,KPMG India,https://www.ambitionbox.com/overview/kpmg-india-overview,3.5,(6.1k),Management Consulting | Bangalore / Bengaluru +103 other locations,6.1k,55.9k,835,1.4k,802,6,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
20,Ujjivan Small Finance Bank,https://www.ambitionbox.com/overview/ujjivan-small-finance-bank-overview,4.1,(5.9k),Banking | Bangalore / Bengaluru +500 other locations,5.9k,12.3k,251,49,604,23,"Company Culture, Work Life Balance, Job Security",
1,Ekart Logistics,https://www.ambitionbox.com/overview/ekart-logistics-overview,3.9,(5.9k),Bangalore / Bengaluru +693 other locations,5.9k,14.1k,338,--,450,72,Skill Development / Learning,Promotions / Appraisal
2,Axis Max Life Insurance,https://www.ambitionbox.com/overview/axis-max-life-insurance-overview,4.1,(5.9k),Insurance | New Delhi +455 other locations,5.9k,18.2k,337,315,527,6,"Company Culture, Skill Development / Learning, Work Life Balance",
3,FIS,https://www.ambitionbox.com/overview/fis-overview,3.9,(5.8k),FinTech | Pune +57 other locations,5.8k,37.8k,498,62,782,17,"Work Life Balance, Company Culture",Promotions / Appraisal
4,HCL Group,https://www.ambitionbox.com/overview/hcl-overview,3.6,(5.8k),IT Services & Consulting | Chennai +92 other locations,5.8k,45.4k,478,1,716,1,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
5,Tata Projects,https://www.ambitionbox.com/overview/tata-projects-overview,4.2,(5.7k),Engineering & Construction | Mumbai +262 other locations,5.7k,20.4k,487,21,591,48,"Job Security, Salary & Benefits, Company Culture",
6,Megha Engineering & Infrastructures,https://www.ambitionbox.com/overview/megha-engineering-and-infrastructure-overview,3.9,(5.6k),Engineering & Construction | Hyderabad / Secunderabad +363 other locations,5.6k,16.8k,484,22,582,32,Job Security,Promotions / Appraisal
7,IIFL Finance,https://www.ambitionbox.com/overview/iifl-finance-overview,4.0,(5.5k),NBFC | Mumbai +750 other locations,5.5k,13.8k,270,8,444,17,"Work Life Balance, Company Culture, Job Security",
8,Indian Army,https://www.ambitionbox.com/overview/indian-army-overview,4.7,(5.6k),Defence & Aerospace | New Delhi +345 other locations,5.6k,9.4k,164,--,773,8,"Job Security, Company Culture, Work Satisfaction",
9,Oracle,https://www.ambitionbox.com/overview/oracle-overview,3.7,(5.5k),Software Product | Bangalore / Bengaluru +53 other locations,5.5k,57.2k,887,1.9k,661,39,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
10,L&T Technology Services,https://www.ambitionbox.com/overview/l-and-t-technology-services-overview,3.3,(5.5k),IT Services & Consulting | Bangalore / Bengaluru +87 other locations,5.5k,39.2k,567,593,483,10,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
11,Coforge,https://www.ambitionbox.com/overview/coforge-overview,3.3,(5.4k),IT Services & Consulting | Noida +100 other locations,5.4k,42.8k,580,197,365,102,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
12,Muthoot Finance,https://www.ambitionbox.com/overview/muthoot-finance-overview,3.6,(5.4k),NBFC | Bangalore / Bengaluru +721 other locations,5.4k,12.1k,280,121,345,8,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
13,eClerx,https://www.ambitionbox.com/overview/eclerx-overview,3.3,(5.4k),IT Services & Consulting | Pune +28 other locations,5.4k,29.3k,566,309,613,23,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
14,JLL,https://www.ambitionbox.com/overview/jll-overview,4.1,(5.3k),Real Estate | Gurgaon / Gurugram +73 other locations,5.3k,21.7k,399,859,580,20,"Job Security, Company Culture, Work Life Balance",
15,Virtusa Consulting Services,https://www.ambitionbox.com/overview/virtusa-consulting-services-overview,3.7,(5.3k),IT Services & Consulting | Hyderabad / Secunderabad +50 other locations,5.3k,53.4k,607,19,358,19,,"Promotions / Appraisal, Job Security, Salary & Benefits"
16,Bajaj Allianz Life Insurance,https://www.ambitionbox.com/overview/bajaj-allianz-life-insurance-overview,3.9,(5.4k),Insurance | Pune +562 other locations,5.4k,16k,366,103,510,17,Salary & Benefits,
17,Omega Healthcare,https://www.ambitionbox.com/overview/omega-healthcare-overview,3.7,(5.3k),BPO | Chennai +63 other locations,5.3k,23.7k,471,146,427,26,,"Promotions / Appraisal, Salary & Benefits"
18,HSBC Group,https://www.ambitionbox.com/overview/hsbc-group-overview,3.9,(5.2k),Financial Services | Bangalore / Bengaluru +60 other locations,5.2k,37.7k,505,172,1.2k,26,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
19,Udaan,https://www.ambitionbox.com/overview/udaan-overview,3.9,(5.2k),Internet | Bangalore / Bengaluru +349 other locations,5.2k,16.4k,343,10,793,13,"Salary & Benefits, Work Life Balance, Skill Development / Learning","Job Security, Promotions / Appraisal"
20,Aurobindo Pharma,https://www.ambitionbox.com/overview/aurobindo-pharma-overview,4.0,(5.1k),Pharma | Hyderabad / Secunderabad +101 other locations,5.1k,21k,255,12,515,9,"Job Security, Salary & Benefits, Work Life Balance",
1,Indiamart Intermesh,https://www.ambitionbox.com/overview/indiamart-intermesh-overview,3.6,(5.2k),Internet | Noida +163 other locations,5.2k,19.1k,678,640,471,13,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
2,Siemens,https://www.ambitionbox.com/overview/siemens-india-overview,4.0,(5.1k),Industrial Automation | Bangalore / Bengaluru +146 other locations,5.1k,30.6k,446,969,699,13,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
3,Cholamandalam Investment & Finance,https://www.ambitionbox.com/overview/cholamandalam-investment-and-finance-overview,3.9,(5k),Financial Services | Chennai +752 other locations,5k,11.3k,213,15,319,36,Salary & Benefits,
4,Shapoorji Pallonji Group,https://www.ambitionbox.com/overview/shapoorji-pallonji-overview,4.1,(5k),Engineering & Construction | Mumbai +184 other locations,5k,14.8k,358,46,665,15,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
5,Standard Chartered,https://www.ambitionbox.com/overview/standard-chartered-overview,3.6,(5k),Banking | Chennai +67 other locations,5k,39.8k,284,614,353,--,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
6,DMart,https://www.ambitionbox.com/overview/dmart-overview,3.9,(4.9k),Retail | Mumbai +231 other locations,4.9k,16k,438,173,505,14,"Job Security, Company Culture",Promotions / Appraisal
7,ICICI Lombard General Insurance Company,https://www.ambitionbox.com/overview/icici-lombard-general-insurance-company-limited-overview,3.6,(4.9k),Insurance | Mumbai +292 other locations,4.9k,19k,308,105,388,15,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
8,Apollo Hospitals,https://www.ambitionbox.com/overview/apollo-hospitals-overview,4.1,(4.9k),Healthcare | Chennai +210 other locations,4.9k,15.6k,383,50,538,2,"Job Security, Skill Development / Learning, Company Culture",
9,Firstsource Solutions,https://www.ambitionbox.com/overview/first-source-overview,3.6,(4.9k),BPO | Bangalore / Bengaluru +65 other locations,4.9k,22.5k,314,91,623,16,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
10,CGI Group,https://www.ambitionbox.com/overview/cgi-group-overview,4.0,(4.9k),IT Services & Consulting | Bangalore / Bengaluru +41 other locations,4.9k,44k,518,291,448,4,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
11,Bosch Global Software Technologies,https://www.ambitionbox.com/overview/bosch-global-software-technologies-overview,3.8,(4.9k),IT Services & Consulting | Bangalore / Bengaluru +39 other locations,4.9k,36.8k,356,6,755,21,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
12,GlobalLogic,https://www.ambitionbox.com/overview/globallogic-overview,3.6,(4.9k),IT Services & Consulting | Hyderabad / Secunderabad +53 other locations,4.9k,36.8k,618,52,582,19,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
13,Cyient,https://www.ambitionbox.com/overview/cyient-overview,3.7,(4.8k),IT Services & Consulting | Hyderabad / Secunderabad +42 other locations,4.8k,26.3k,302,79,504,3,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
14,BigBasket,https://www.ambitionbox.com/overview/bigbasket-overview,3.9,(4.8k),Internet | Bangalore / Bengaluru +126 other locations,4.8k,17.4k,385,46,405,33,"Job Security, Skill Development / Learning",Promotions / Appraisal
15,Ashok Leyland,https://www.ambitionbox.com/overview/ashok-leyland-overview,4.1,(4.8k),Automobile | Chennai +230 other locations,4.8k,17.5k,263,3,685,13,"Skill Development / Learning, Work Life Balance, Company Culture",Promotions / Appraisal
16,Citicorp,https://www.ambitionbox.com/overview/citicorp-overview,3.7,(4.8k),Financial Services | Pune +65 other locations,4.8k,45.7k,582,--,569,6,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
17,UST,https://www.ambitionbox.com/overview/ust-overview,3.8,(4.8k),IT Services & Consulting | Bangalore / Bengaluru +48 other locations,4.8k,37.4k,536,219,465,16,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
18,Mahindra Finance,https://www.ambitionbox.com/overview/mahindra-finance-overview,4.0,(4.8k),NBFC | Mumbai +689 other locations,4.8k,11.4k,165,59,526,8,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
19,SMFG India Credit,https://www.ambitionbox.com/overview/fullerton-india-overview,4.0,(4.7k),NBFC | Mumbai +554 other locations,4.7k,10.4k,172,91,363,17,"Salary & Benefits, Job Security",
