position,name,url,rating,rating_count,industry_location,reviews,salaries,interviews,jobs,benefits,photos,highly_rated_for,critically_rated_for
7,Essel Infraprojects,https://www.ambitionbox.com/overview/essel-infraprojects-overview,3.8,(107),Engineering & Construction | New Delhi +20 other locations,107,468,4,--,20,--,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
8,Global Market Insights,https://www.ambitionbox.com/overview/global-market-insights-overview,2.8,(108),Analytics & KPO | Pune +3 other locations,108,532,8,--,15,--,,"Job Security, Work Satisfaction, Promotions / Appraisal"
9,Conviction HR,https://www.ambitionbox.com/overview/conviction-hr-overview,3.7,(107),Recruitment | Mumbai +11 other locations,107,354,10,11,54,1,,"Company Culture, Work Life Balance, Job Security"
10,The Judge Group,https://www.ambitionbox.com/overview/the-judge-group-overview,3.3,(108),Recruitment | Noida +7 other locations,108,637,8,6,9,--,,"Promotions / Appraisal, Job Security, Work Satisfaction"
11,Creative Info-link,https://www.ambitionbox.com/overview/creative-info-link-overview,3.0,(109),IT Services & Consulting | Pune +26 other locations,109,326,4,13,7,--,,"Promotions / Appraisal, Company Culture, Skill Development / Learning"
12,NETPLUS Broadband Services,https://www.ambitionbox.com/overview/netplus-broadband-services-overview,3.7,(108),Telecom | Ludhiana +16 other locations,108,449,4,--,12,--,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
13,S10 Healthcare Solutions,https://www.ambitionbox.com/overview/s10-healthcare-solutions-overview,3.9,(107),Fitness & Wellness | Chennai +5 other locations,107,291,6,1,14,--,"Skill Development / Learning, Work Life Balance, Job Security",
14,Axis Asset Management Company,https://www.ambitionbox.com/overview/axis-asset-management-company-overview,4.1,(109),Financial Services | Mumbai +47 other locations,109,469,4,15,3,--,"Work Life Balance, Job Security, Skill Development / Learning",
15,Guardian Healthcare Services,https://www.ambitionbox.com/overview/guardian-healthcare-services-overview,3.8,(108),Fitness & Wellness | New Delhi +13 other locations,108,484,6,6,14,--,,"Job Security, Promotions / Appraisal"
16,Ceigall,https://www.ambitionbox.com/overview/ceigall-overview,3.6,(108),Ludhiana +18 other locations,108,563,8,--,5,--,,"Job Security, Promotions / Appraisal, Company Culture"
17,Government Polytechnic College,https://www.ambitionbox.com/overview/government-polytechnic-college-overview,4.5,(108),Education & Training | Bangalore / Bengaluru +58 other locations,108,326,4,--,9,--,"Work Life Balance, Work Satisfaction, Skill Development / Learning",Promotions / Appraisal
18,Bennett University,https://www.ambitionbox.com/overview/bennett-university-overview,4.0,(109),Education & Training | Greater Noida +8 other locations,109,629,11,--,12,--,"Work Life Balance, Work Satisfaction, Skill Development / Learning",Promotions / Appraisal
19,Samvardhana Motherson Auto Component,https://www.ambitionbox.com/overview/samvardhana-motherson-auto-component-overview,4.0,(108),Electrical Equipment | Gurgaon / Gurugram +15 other locations,108,619,7,--,8,--,"Job Security, Skill Development / Learning",
20,SATTRIX Information Security,https://www.ambitionbox.com/overview/sattrix-information-security-overview,3.1,(108),IT Services & Consulting | Ahmedabad +10 other locations,108,454,14,5,12,--,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
1,TFG Vacations,https://www.ambitionbox.com/overview/tfg-vacations-overview,4.3,(107),Travel & Tourism | New Delhi +11 other locations,107,53,--,--,24,--,"Company Culture, Work Life Balance, Work Satisfaction",
2,Dai Ichi,https://www.ambitionbox.com/overview/dai-ichi-overview,3.9,(107),Chemicals | Bharuch +8 other locations,107,504,4,1,7,--,"Work Life Balance, Job Security",Promotions / Appraisal
3,Eicher VE commercial,https://www.ambitionbox.com/overview/eicher-ve-commercial-overview,4.2,(108),Indore +38 other locations,108,463,2,--,--,4,"Company Culture, Skill Development / Learning, Work Satisfaction",
4,Indian Potash,https://www.ambitionbox.com/overview/indian-potash-limited-overview,3.6,(107),Agro Chemicals | Muzaffarnagar +30 other locations,107,406,5,--,7,--,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Company Culture"
5,B. E. Billimoria,https://www.ambitionbox.com/overview/b-e-billimoria-overview,4.1,(106),Engineering & Construction | Mumbai +13 other locations,106,244,4,--,9,--,"Work Life Balance, Company Culture, Work Satisfaction",
6,TeamLease Staffing Solutions,https://www.ambitionbox.com/overview/teamlease-staffing-solutions-overview,3.5,(107),Internet | Bangalore / Bengaluru +29 other locations,107,968,7,2,16,--,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
7,Inspace Technologies,https://www.ambitionbox.com/overview/inspace-technologies-overview,4.0,(110),Software Product | Chennai +14 other locations,110,609,4,1,6,--,"Work Life Balance, Work Satisfaction","Promotions / Appraisal, Salary & Benefits"
8,Takata,https://www.ambitionbox.com/overview/takata-overview,4.2,(107),Auto Components | Chennai +9 other locations,107,283,2,--,23,--,"Company Culture, Job Security, Skill Development / Learning",
9,Amplifon,https://www.ambitionbox.com/overview/amplifon-overview,3.8,(107),Medical Equipment | Gurgaon / Gurugram +27 other locations,107,385,8,--,11,--,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
10,Oswal Industries,https://www.ambitionbox.com/overview/oswal-industries-limited-overview,3.6,(107),Financial Services | Ahmedabad +8 other locations,107,421,3,--,15,--,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
11,Site Engineering,https://www.ambitionbox.com/overview/site-engineering-overview,3.8,(105),Engineering & Construction | Chennai +37 other locations,105,920,8,--,9,--,"Work Life Balance, Company Culture, Skill Development / Learning",
12,Adaequare,https://www.ambitionbox.com/overview/adaequare-overview,3.9,(105),IT Services & Consulting | Hyderabad / Secunderabad +3 other locations,105,749,9,6,31,--,"Work Life Balance, Skill Development / Learning",
13,Maven Wave Partners,https://www.ambitionbox.com/overview/maven-wave-partners-overview,4.1,(106),IT Services & Consulting | Gurgaon / Gurugram +4 other locations,106,502,11,18,31,--,"Work Life Balance, Skill Development / Learning, Company Culture",
